row,JobTitle,SIC,JobTask,SOC1,Prob1,SOC2,Prob2,SOC3,Prob3,SOC4,Prob4,SOC5,Prob5,SOC6,Prob6,SOC7,Prob7,SOC8,Prob8,SOC9,Prob9,SOC10,Prob10
1,JobTitle-1,SIC1,JobTask1,27-1023,0.9354441000442365,35-3022,0.930300597785001,27-4012,0.6014723362083826,25-1199,0.3668276570722977,47-2042,0.36164314200854475,47-2152,0.3488996105342037,15-2011,0.33698791008682616,39-3011,0.2628014460917343,29-9099,0.25789102936835284,25-1054,0.0172198668595559
2,JobTitle-2,SIC2,JobTask2,45-4022,0.9304486325032787,55-2012,0.8285013035117773,19-4092,0.6538050470880886,55-1014,0.6143896229502521,51-2011,0.5845375573351925,41-9022,0.5246549652783972,49-2011,0.4035022470644589,47-3014,0.2161976964553577,25-3099,0.14467330731454298,25-1052,0.1346675740762231
3,JobTitle-3,SIC3,JobTask3,43-5111,0.9860416197330113,19-1031,0.8293879074243692,29-2034,0.8040223935650961,41-9021,0.7335673266045916,55-2011,0.6460076573934996,17-2121,0.6033180321535985,51-9192,0.47316594870531237,19-1041,0.40900314595556697,31-9096,0.37534077271200883,29-1067,0.3465766986463388
4,JobTitle-4,SIC4,JobTask4,33-9091,0.9150181393716121,27-1029,0.7271745253438561,47-2072,0.6930581072055507,43-4061,0.651692614348455,21-1094,0.44520944512525507,53-6031,0.29393506073382913,25-1065,0.22792067697174334,19-4099,0.2099810521344201,47-4071,0.16757208853023986,37-2021,0.14729716932774095
5,JobTitle-5,SIC5,JobTask5,23-1012,0.84870767918525,47-4099,0.8373694806385413,29-2011,0.7456882852961121,53-4012,0.6815865981820367,43-6011,0.5201349919198127,47-2041,0.4277583313832366,11-9031,0.42491088123929843,55-1015,0.26157835117782247,47-5031,0.18165496895973177,47-2131,0.12368063256134154
6,JobTitle-6,SIC6,JobTask6,47-5012,0.9761879377886854,29-1171,0.8841766401081008,53-7033,0.8548181506029585,27-3041,0.6445798288357188,31-9099,0.5799368479008318,29-2056,0.5367050269693064,43-4171,0.39900933630847646,43-9011,0.2633930072413898,47-4031,0.02630368451168119,17-1022,0.008379040044478092
7,JobTitle-7,SIC7,JobTask7,41-1011,0.8810316227477624,53-5022,0.7467757524171889,49-2094,0.6440532257774526,47-4011,0.6328440583017633,39-1011,0.6171898176352635,53-3022,0.372400353074848,25-3099,0.23980797679004673,31-1014,0.18843568951704714,47-2221,0.04610454178109047,27-3043,0.02903505607730883
8,JobTitle-8,SIC8,JobTask8,11-3011,0.9543276419877956,17-1011,0.7193909950690426,49-9044,0.6653703224978375,21-1023,0.542427622993146,47-5071,0.40235023180990104,49-3092,0.3090261697346086,43-9011,0.2483374955493315,11-9151,0.1127773401866321,47-3016,0.09450460077095613,11-9111,0.07370848580255862
9,JobTitle-9,SIC9,JobTask9,33-3051,0.9136187425674163,29-1064,0.8490774241661179,13-2011,0.8403352654430493,43-5081,0.7636904374630035,21-1013,0.5580161675373818,51-9061,0.4831099913655359,19-3093,0.21444012742103635,47-2041,0.14145346366198108,29-2021,0.12652716698355826,53-2011,0.08489893127639703
10,JobTitle-10,SIC10,JobTask10,43-2099,0.9221048824196985,45-1011,0.7003010790089382,49-9097,0.6997823139797112,29-1122,0.6530420684329635,13-1161,0.5624001943214427,43-9051,0.5024848982715353,51-6062,0.46470813156343527,21-1093,0.4000740511955614,53-2021,0.27587114338806784,53-7199,0.1656593945403766
11,JobTitle-11,SIC11,JobTask11,49-3092,0.877702475286372,21-2099,0.8096027132015189,27-1024,0.7738458714169258,25-2031,0.6988398127559792,41-4011,0.5371386265774535,27-1023,0.5341105563800712,55-1013,0.53127381016405,47-2211,0.34187667456253734,19-3032,0.2529930643417956,53-6021,0.04149627791117838
12,JobTitle-12,SIC12,JobTask12,19-1042,0.9423284487096448,47-4099,0.9272812349197292,17-2031,0.8886871004462645,45-3011,0.8766600207552153,55-3011,0.8213257251901179,25-4011,0.7862236563198244,47-4051,0.6334480508827949,49-9021,0.4310109169521358,51-7032,0.1920289615481542,51-5112,0.012473440240266531
13,JobTitle-13,SIC13,JobTask13,15-1152,0.9440261608629634,45-2011,0.9176775160567601,19-3091,0.8262421393795064,43-9011,0.6847003474204443,29-2032,0.5674354185095621,53-7111,0.4380652796732417,43-4031,0.3621183233421258,51-8031,0.2963963321854386,43-9071,0.14137590568440883,49-3011,0.006410980253042875
14,JobTitle-14,SIC14,JobTask14,27-2022,0.9352375913311699,27-1027,0.9223393654170969,51-4062,0.9031957035684052,51-8092,0.8677377342295938,47-2231,0.7397862959261845,41-3099,0.6403578519845338,13-1075,0.5598336856711237,25-1121,0.3947736717576231,19-4092,0.31682063641678093,43-4021,0.0169509241539737
15,JobTitle-15,SIC15,JobTask15,43-3061,0.9230521271940806,51-4031,0.703677423318992,51-9151,0.6096117057848103,39-3091,0.5128348766599744,35-1011,0.5072389861461307,49-9092,0.34983305580571367,51-9141,0.31559119562426075,27-2099,0.14605010693729137,33-9032,0.121922435239469,45-2092,0.08425250779641025
16,JobTitle-16,SIC16,JobTask16,17-2072,0.9206216438690092,13-2099,0.7763292632233263,53-6021,0.7040399395702956,19-1022,0.6744729566177619,23-2093,0.5147076865065016,17-3011,0.35861794811685066,27-3012,0.3416555698377147,27-1027,0.26127614472311256,19-4021,0.23056247496609417,31-9099,0.0383285065850163
17,JobTitle-17,SIC17,JobTask17,27-1013,0.936189107490915,53-7051,0.9265867767129783,51-8093,0.882162015852215,53-7064,0.8530090595822701,25-1121,0.7531460471150722,51-3093,0.6208511088299993,17-2051,0.5863514365925537,19-2042,0.32714677516485247,27-3021,0.2663087767674527,51-2093,0.17429383695669376
18,JobTitle-18,SIC18,JobTask18,17-2171,0.9517737697280634,23-2099,0.9287081651942034,27-3021,0.7632553389953745,55-1011,0.63277101458965,35-2015,0.4404262350345435,43-1011,0.3696987408041569,53-7041,0.2132120053498353,43-4041,0.19035551651280314,43-2021,0.06580209534396042,49-2092,0.06064088271689272
19,JobTitle-19,SIC19,JobTask19,39-5094,0.8738732614344175,25-1042,0.7358697087953086,51-6093,0.7022039764778892,11-9032,0.6045125928915894,41-9091,0.5369010334333274,11-9141,0.5075992057450074,11-9141,0.4489751404989457,41-9012,0.44611323073533893,17-3031,0.350636037777333,49-2021,0.08663300933302986
20,JobTitle-20,SIC20,JobTask20,13-2011,0.8889590836419063,25-2059,0.7739579275549908,39-4011,0.6346485624888776,39-5094,0.6117369142844058,41-3031,0.5769362215880702,45-2011,0.5263395399252432,21-1094,0.4661845680933798,25-2031,0.05094519787624374,43-6011,0.026593943736454295,43-9051,0.013551762131010836
